Liebig's	VVIMP	Liebig's
Pflanzen	NN	Pflanze|Pflanzen
ihren	PPOSAT	ihr
Stickstoff	NN	Stickstoff
aus	APPR	aus
dem	ART	die
Ammoniak	NN	Ammoniak
beziehen	VVFIN	beziehen
.	$.	.
4	ADJA	@card@
)	$(	)
Mineralische	ADJA	mineralisch
Stoffe	NN	Stoff
.	$.	.
Unter	APPR	unter
den	ART	die
mineralischen	ADJA	mineralisch
Stoffen	NN	Stoff
,	$,	,
welche	PRELS	welche
die	ART	die
Pflanzen	NN	Pflanze|Pflanzen
aus	APPR	aus
dem	ART	die
Boden	NN	Boden
aufnehmen	VVFIN	aufnehmen
,	$,	,
gibt	VVFIN	geben
es	PPER	es
mehrere	PIS	mehrere
,	$,	,
die	PRELS	die
zur	APPRART	zu+die
Unterhaltung	NN	Unterhaltung
derselben	PDAT	dieselb
durchaus	ADV	durchaus
nothwendig	ADJD	nothwendig
sind	VAFIN	sein
,	$,	,
weil	KOUS	weil
ohne	APPR	ohne
sie	PPER	sie
verschiedene	ADJA	verschieden
Organe	NN	Organ
nicht	PTKNEG	nicht
zur	APPRART	zu+die
Ausbildung	NN	Ausbildung
kommen	VVINF	kommen
können	VMFIN	können
.	$.	.
Diese	PDAT	dies
Körper	NN	Körper
sind	VAFIN	sein
also	ADV	also
zur	APPRART	zu+die
Ernährung	NN	Ernährung
der	ART	die
Pflanzen	NN	Pflanze|Pflanzen
eben	ADV	eben
so	ADV	so
wohl	ADV	wohl
erforderlich	ADJD	erforderlich
,	$,	,
als	KOKOM	als
Ammoniak	NN	Ammoniak
oder	KON	oder
Kohlensäure	NN	Kohlensäure
.	$.	.
Unter	APPR	unter
dieselben	PDS	dieselbe
gehört	VVFIN	gehören
namentlich	ADJD	namentlich
eine	ART	eine
gewisse	ADJA	gewiss
Menge	NN	Menge
von	APPR	von
Basen	NN	Base|Basis
,	$,	,
welche	PRELS	welche
,	$,	,
an	APPR	an
Pflanzensäuren	NN	Pflanzensäuren
gebunden	VVPP	binden
,	$,	,
in	APPR	in
den	ART	die
Pflanzen	NN	Pflanze|Pflanzen
enthalten	VVPP	enthalten
sind	VAFIN	sein
.	$.	.
Merkwürdiger	ADJA	merkwürdig
Weise	NN	Weise
können	VMFIN	können
diese	PDAT	dies
Basen	NN	Base|Basis
einander	PRF	einander
vertreten	VVPP	vertreten
,	$,	,
wenn	KOUS	wenn
nur	ADV	nur
die	ART	die
Sättigungscapacität	NN	Sättigungscapacität
ihrer	PPOSAT	ihr
Gesammtmenge	NN	Gesammtmenge
dieselbe	PDS	dieselbe
bleibt	VVFIN	bleiben
;	$.	;
ja	ADV	ja
es	PPER	es
suchen	VVFIN	suchen
sogar	ADV	sogar
die	ART	die
Pflanzen	NN	Pflanze|Pflanzen
,	$,	,
wenn	KOUS	wenn
sie	PPER	sie
Mangel	NN	Mangel
daran	PAV	daran
leiden	VVFIN	leiden
,	$,	,
dieselben	PDS	dieselbe
durch	APPR	durch
organische	ADJA	organisch
Basen	NN	Base|Basis
zu	PTKZU	zu
ersetzen	VVINF	ersetzen
.	$.	.
Die	ART	die
mineralischen	ADJA	mineralisch
Stoffe	NN	Stoff
machen	VVFIN	machen
einen	ART	eine
sehr	ADV	sehr
wesentlichen	ADJA	wesentlich
und	KON	und
wichtigen	ADJA	wichtig
Bestandtheil	NN	Bestandtheil
des	ART	die
Düngers	NN	Dünger
aus	PTKVZ	aus
,	$,	,
und	KON	und
es	PPER	es
gibt	VVFIN	geben
uns	PPER	wir
die	ART	die
Kenntniss	NN	Kenntniss
der	ART	die
anorganischen	ADJA	anorganisch
Bestandtheile	NN	Bestandtheile
des	ART	die
Bodens	NN	Boden
,	$,	,
auf	APPR	auf
welchem	PRELS	welche
die	ART	die
Kulturpflanzen	NN	Kulturpflanze
wachsen	VVFIN	wachsen
,	$,	,
so	ADV	so
wie	KOKOM	wie
derer	PDS	die
,	$,	,
welche	PWAT	welche
diese	PDAT	dies
Pflanzen	NN	Pflanze|Pflanzen
zu	APPR	zu
ihrem	PPOSAT	ihr
Unterhalt	NN	Unterhalt
bedürfen	VVFIN	bedürfen
,	$,	,
für	APPR	für
die	ART	die
Landwirthschaft	NN	Landwirthschaft
die	ART	die
wichtigsten	ADJA	wichtig
Aufschlüsse	NN	Aufschluss
.	$.	.
Schleidens	NN	Schleidens
Einwendungen	NN	Einwendung
gegen	APPR	gegen
Liebig´s	NN	Liebig´s
Theorie	NN	Theorie
.	$.	.
Der	ART	die
erste	ADJA	erst
und	KON	und
allgemeinste	ADJA	allgemein
Vorwurf	NN	Vorwurf
,	$,	,
welchen	PRELS	welche
Sch	ADJD	Sch
.	$.	.
,	$,	,
nachdem	KOUS	nachdem
er	PPER	er
zur	APPRART	zu+die
Einleitung	NN	Einleitung
einige	PIAT	einige
philosophische	ADJA	philosophisch
Redensarten	NN	Redensart
mitgetheilt	VVPP	mitgetheilt
hat	VAFIN	haben
,	$,	,
L.	NE	L.
macht	VVFIN	machen
,	$,	,
ist	VAFIN	sein
ganz	ADV	ganz
einfach	ADJD	einfach
der	ART	die
,	$,	,
dass	KOUS	dass
dessen	PDAT	die
ganzes	ADJA	ganz
Buch	NN	Buch
unverarbeitet	VVPP	unverarbeitet
und	KON	und
nicht	PTKNEG	nicht
durchdacht	ADJD	durchdacht
hingeschrieben	VVPP	hinschreiben
sei	VAFIN	sein
.	$.	.
Gewiss	ADJD	gewiss
war	VAFIN	sein
es	PPER	es
schwierig	ADJD	schwierig
,	$,	,
auf	APPR	auf
einen	ART	eine
solchen	PIAT	solche
Vorwurf	NN	Vorwurf
zu	PTKZU	zu
verfallen	VVINF	verfallen
,	$,	,
und	KON	und
nicht	PTKNEG	nicht
leicht	ADJD	leicht
hätte	VAFIN	haben
Jemand	NN	Jemand
die	ART	die
Möglichkeit	NN	Möglichkeit
desselben	PDS	derselbe
vorausgesetzt	VVPP	voraussetzen
.	$.	.
Sch	VVFIN	Sch
.	$.	.
sieht	VVFIN	sehen
in	APPR	in
L	NE	L
‘	$(	‘
s	NN	s
Arbeit	NN	Arbeit
nichts	PIS	nichts
als	KOKOM	als
eine	ART	eine
zusammengeschriebene	ADJA	zusammengeschriebene
Masse	NN	Masse
bekannter	ADJA	bekannt
Thatsachen	NN	Thatsachen
,	$,	,
die	PRELS	die
ohne	APPR	ohne
alle	PIAT	alle
Kritik	NN	Kritik
durch	APPR	durch
nichtssagende	ADJA	nichtssagend
,	$,	,
theoretische	ADJA	theoretisch
Betrachtungen	NN	Betrachtung
mit	APPR	mit
einander	PRF	einander
verbunden	VVPP	verbinden
sind	VAFIN	sein
.	$.	.
Jch	NE	Jch
habe	VAFIN	haben
mir	PPER	ich
von	APPR	von
einem	ART	eine
sehr	ADV	sehr
sachverständigen	ADJA	sachverständig
Mann	NN	Mann
versichern	VVINF	versichern
lassen	VVINF	lassen
,	$,	,
dass	KOUS	dass
Sch	VVFIN	Sch
.	$.	.
ein	ART	eine
guter	ADJA	gut
Botaniker	NN	Botaniker
sei	VAFIN	sein
;	$.	;
um	APPR	um
so	ADV	so
mehr	ADV	mehr
ist	VAFIN	sein
es	PPER	es
zu	PTKZU	zu
bedauern	VVINF	bedauern
,	$,	,
dass	KOUS	dass
er	PPER	er
sich	PRF	sich
zum	APPRART	zu+die
Beurtheiler	NN	Beurtheiler
einer	ART	eine
Theorie	NN	Theorie
aufwirft	VVFIN	aufwerfen
,	$,	,
die	PRELS	die
er	PPER	er
nicht	PTKNEG	nicht
einmal	ADV	einmal
aufzufassen	VVIZU	auffassen
vermochte	VVFIN	vermögen
,	$,	,
Wir	PPER	wir
sind	VAFIN	sein
so	ADV	so
eben	ADV	eben
dem	ART	die
einfachen	ADJA	einfach
Gang	NN	Gang
von	APPR	von
L's	NN	L's
Untersuchungen	NN	Untersuchung
gefolgt	VVPP	folgen
,	$,	,
welcher	PRELS	welche
ohne	APPR	ohne
Zweifel	NN	Zweifel
noch	ADV	noch
vielen	PIAT	viele
spätern	ADJA	spätern
speculativen	ADJA	speculativen
Forschungen	NN	Forschung
zum	APPRART	zu+die
Muster	NN	Muster
dienen	VVINF	dienen
wird	VAFIN	werden
.	$.	.
Gewiss	ADJD	gewiss
hat	VAFIN	haben
Niemand	NN	Niemand
den	ART	die
Zusammenhang	NN	Zusammenhang
darin	PAV	darin
vermisst	VVPP	vermissen
.	$.	.
Sollte	VMFIN	sollen
man	PIS	man
nicht	PTKNEG	nicht
von	APPR	von
einem	ART	eine
Manne	NN	Mann
,	$,	,
der	PRELS	die
die	ART	die
Ansichten	NN	Ansicht
eines	ART	eine
andern	PIS	andere
auf	APPR	auf
eine	ART	eine
so	ADV	so
absprechende	ADJA	absprechende
Weise	NN	Weise
zu	PTKZU	zu
bestreiten	VVINF	bestreiten
sucht	VVFIN	suchen
,	$,	,
wenigstens	ADV	wenigstens
das	ART	die
geringe	ADJA	gering
Verdienst	NN	Verdienst
voraussetzen	VVFIN	voraussetzen
,	$,	,
dem	ART	die
Ideeengang	NN	Ideeengang
desselben	PDAT	derselb
vollkommen	ADJD	vollkommen
folgen	VVINF	folgen
zu	PTKZU	zu
können	VMINF	können
?	$.	?
Gewiss	ADJD	gewiss
!	$.	!
Aber	KON	aber
leider	ADV	leider
dürfen	VMFIN	dürfen
wir	PPER	wir
es	PPER	es
bei	APPR	bei
Sch	NE	Sch
.	$.	.
nicht	PTKNEG	nicht
,	$,	,
wie	KOUS	wie
seine	PPOSAT	sein
Einwendungen	NN	Einwendung
uns	PRF	wir
zur	APPRART	zu+die
Genüge	NN	Genüge
zeigen	VVINF	zeigen
werden	VAFIN	werden
.	$.	.
Seite	NN	Seite
8	CARD	@card@
behauptet	VVFIN	behaupten
Sch	ADJD	Sch
.	$.	.
,	$,	,
L.	NE	L.
widerspreche	VVFIN	widersprechen
sich	PRF	sich
,	$,	,
indem	KOUS	indem
er	PPER	er
den	ART	die
Sauerstoff	NN	Sauerstoff
,	$,	,
den	PRELS	die
die	ART	die
Pflanzen	NN	Pflanze|Pflanzen
abscheiden	VVFIN	abscheiden
,	$,	,
bald	ADV	bald
aus	APPR	aus
dem	ART	die
Wasser	NN	Wasser
,	$,	,
bald	ADV	bald
aus	APPR	aus
der	ART	die
Kohlensäure	NN	Kohlensäure
herleite	VVFIN	herleiten
.	$.	.
L.	NE	L.
erörtert	VVFIN	erörtern
aber	ADV	aber
auf	APPR	auf
das	ART	die
Deutlichste	NN	Deutlichste
,	$,	,
dass	KOUS	dass
in	APPR	in
den	ART	die
meisten	PIAT	meist
Fällen	NN	Fall|Fällen
für	APPR	für
jedes	PIAT	jede
Atom	NN	Atom
aufgenommenen	ADJA	aufgenommen
Kohlenstoffs	NN	Kohlenstoff
,	$,	,
zwei	CARD	zwei
Atome	NN	Atom
Sauerstoff	NN	Sauerstoff
abgeschieden	VVPP	abscheiden
werden	VAFIN	werden
,	$,	,
dass	KOUS	dass
man	PIS	man
durch	APPR	durch
das	ART	die
Auge	NN	Auge
nicht	PTKNEG	nicht
entscheiden	VVINF	entscheiden
kann	VMFIN	können
;	$.	;
ob	APPR	ob
dieser	PDAT	dies
Sauerstoff	NN	Sauerstoff
aus	APPR	aus
der	ART	die
Kohlensäure	NN	Kohlensäure
oder	KON	oder
dem	ART	die
Wasser	NN	Wasser
kommt	VVFIN	kommen
,	$,	,
letzteres	ADJA	letzt
aber	KON	aber
aus	APPR	aus
chemischen	ADJA	chemisch
Gründen	NN	Grund
wahrscheinlich	ADJD	wahrscheinlich
ist	VAFIN	sein
,	$,	,
und	KON	und
dass	KOUS	dass
es	PPER	es
auch	ADV	auch
Fälle	NN	Fall
gibt	VVFIN	geben
,	$,	,
in	APPR	in
welchen	PRELS	welche
der	ART	die
Sauerstoff	NN	Sauerstoff
von	APPR	von
beiden	PIAT	beide
Körpern	NN	Körper
,	$,	,
dem	ART	die
Wasser	NN	Wasser
und	KON	und
der	ART	die
Kohlensäure	NN	Kohlensäure
,	$,	,
abgeschieden	VVPP	abscheiden
werden	VAINF	werden
muss	VMFIN	müssen
.	$.	.
Auf	APPR	auf
derselben	PDAT	dieselb
Seite	NN	Seite
bespricht	VVFIN	besprechen
Sch	ADJD	Sch
.	$.	.
eine	ART	eine
Bemerkung	NN	Bemerkung
L's	NN	L's
über	APPR	über
die	ART	die
Form	NN	Form
der	ART	die
Stärkekügelchen	NN	Stärkekügelchen
,	$,	,
welche	PRELS	welche
dieser	PDAT	dies
zufällig	ADJD	zufällig
macht	VVFIN	machen
,	$,	,
um	KOUI	um
zu	PTKZU	zu
erklären	VVINF	erklären
,	$,	,
dass	KOUS	dass
das	ART	die
chemische	ADJA	chemisch
Verhalten	NN	Verhalten
zweier	CARD	zwei
sehr	ADV	sehr
innig	ADJD	innig
mit	APPR	mit
einander	PRF	einander
verwachsener	ADJA	verwachsener
Körper	NN	Körper
oft	ADV	oft
noch	ADV	noch
eine	ART	eine
Trennung	NN	Trennung
möglich	ADJD	möglich
mache	VVFIN	machen
,	$,	,
die	PRELS	die
durch	APPR	durch
andere	PIS	andere
Mittel	NN	Mittel
nicht	PTKNEG	nicht
bewirkt	VVPP	bewirken
werden	VAINF	werden
könne	VMFIN	können
.	$.	.
Bei	APPR	bei
dieser	PDAT	dies
Gelegenheit	NN	Gelegenheit
schlägt	VVFIN	schlagen
Sch	ADJD	Sch
.	$.	.
vor	PTKVZ	vor
,	$,	,
abwechselnd	ADJD	abwechselnd
über	APPR	über
einander	PRF	einander
liegende	ADJA	liegend
Schichten	NN	Schicht
von	APPR	von
Wachs	NN	Wachs
und	KON	und
Stärke	NN	Stärke
,	$,	,
welche	PRELS	welche
nach	APPR	nach
L's	NN	L's
Vermuthung	NN	Vermuthung
in	APPR	in
den	ART	die
Stärkekügelchen	NN	Stärkekügelchen
enthalten	VVPP	enthalten
sein	VAINF	sein
sollen	VMFIN	sollen
,	$,	,
durch	APPR	durch
abwechselndes	ADJA	abwechselnd
Auskochen	VVFIN	auskochen
mit	APPR	mit
Wasser	NN	Wasser
und	KON	und
Aether	NE	Aether
aufzulösen	VVIZU	auflösen
.	$.	.
Jedem	PIS	jede
,	$,	,
der	PRELS	die
sich	PRF	sich
nur	ADV	nur
irgend	ADV	irgend
mit	APPR	mit
solchen	PIAT	solche
Versuchen	NN	Versuch|Versuchen
beschäftigt	VVPP	beschäftigen
hat	VAFIN	haben
,	$,	,
ist	VAFIN	sein
es	PPER	es
bekannt	ADJD	bekannt
,	$,	,
dass	KOUS	dass
eine	ART	eine
solche	PIAT	solche
homöopathische	ADJA	homöopathisch
Behandlung	NN	Behandlung
der	ART	die
mikroskopischen	ADJA	mikroskopisch
Stärkeschichten	NN	Stärkeschichten
nicht	PTKNEG	nicht
ausführbar	ADJD	ausführbar
ist	VAFIN	sein
.	$.	.
Seite	NN	Seite
9	CARD	@card@
behauptet	VVFIN	behaupten
Sch	ADJD	Sch
.	$.	.
die	ART	die
L'sche	NN	L'sche
Ansicht	NN	Ansicht
,	$,	,
nach	APPR	nach
der	PRELS	die
der	ART	die
Humus	NN	Humus
,	$,	,
ehe	KOUS	ehe
er	PPER	er
zur	APPRART	zu+die
Ernährung	NN	Ernährung
der	ART	die
Pflanzen	NN	Pflanze|Pflanzen
dient	VVFIN	dienen
,	$,	,
in	APPR	in
Kohlensäure	NN	Kohlensäure
übergeht	VVFIN	übergehen
,	$,	,
sei	VAFIN	sein
bereits	ADV	bereits
von	APPR	von
vielen	PIAT	viele
Pflanzenphysiologen	NN	Pflanzenphysiologen
angenommen	VVPP	annehmen
.	$.	.
L's	NN	L's
Zweck	NN	Zweck
war	VAFIN	sein
aber	ADV	aber
gerade	ADV	gerade
der	ART	die
,	$,	,
die	ART	die
nothwendigen	ADJA	nothwendigen
Beweise	NN	Beweis
für	APPR	für
die	ART	die
Richtigkeit	NN	Richtigkeit
dieser	PDAT	dies
Ansicht	NN	Ansicht
zu	PTKZU	zu
liefern	VVINF	liefern
,	$,	,
damit	KOUS	damit
sie	PPER	sie
in	APPR	in
Zukunft	NN	Zukunft
nicht	PTKNEG	nicht
von	APPR	von
vielen	PIAT	viele
,	$,	,
sondern	KON	sondern
von	APPR	von
allen	PIAT	alle
Physiologen	NN	Physiologe
angenommen	VVPP	annehmen
werde	VAFIN	werden
.	$.	.
Wer	PWS	wer
eine	ART	eine
,	$,	,
viele	PIAT	viele
Erscheinungen	NN	Erscheinung
umfassende	ADJA	umfassend
Theorie	NN	Theorie
aufstellt	VVFIN	aufstellen
,	$,	,
kann	VMFIN	können
natürlich	ADV	natürlich
nur	ADV	nur
den	ART	die
kleinern	NN	kleinern
Theil	NN	Theil
dieser	PDAT	dies
Erscheinungen	NN	Erscheinung
selbst	ADV	selbst
beobachten	VVINF	beobachten
,	$,	,
aber	KON	aber
er	PPER	er
muss	VMFIN	müssen
das	ART	die
sehr	ADV	sehr
seltene	ADJA	selten
Talent	NN	Talent
besitzen	VVINF	besitzen
,	$,	,
solche	PIAT	solche
Versuche	NN	Versuch
und	KON	und
Beobachtungen	NN	Beobachtung
anzustellen	VVIZU	anstellen
,	$,	,
aus	APPR	aus
welchen	PRELS	welche
entscheidende	ADJA	entscheidend
Resultate	NN	Resultat
hervorgehen	VVFIN	hervorgehen
;	$.	;
er	PPER	er
muss	VMFIN	müssen
die	ART	die
Versuche	NN	Versuch
Anderer	PIS	andere
beurtheilen	VVINF	beurtheilen
können	VMINF	können
,	$,	,
muss	VMFIN	müssen
wissen	VVINF	wissen
,	$,	,
welchen	PRELS	welche
Werth	NE	Werth
dieselben	PDAT	dieselb
für	APPR	für
ihn	PPER	er
haben	VAFIN	haben
und	KON	und
welche	PRELS	welche
Schlüsse	NN	Schluss
er	PPER	er
daraus	PAV	daraus
ziehen	VVINF	ziehen
kann	VMFIN	können
.	$.	.
Die	ART	die
Thatsache	NN	Thatsache
,	$,	,
dass	KOUS	dass
die	ART	die
Metalle	NN	Metall
beim	APPRART	bei+die
Verbrennen	NN	Verbrennen
an	APPR	an
Gewicht	NN	Gewicht
zunehmen	VVINF	zunehmen
und	KON	und
auch	ADV	auch
der	ART	die
Luft	NN	Luft
zum	APPRART	zu+die
Verbrennen	NN	Verbrennen
bedürfen	VVFIN	bedürfen
,	$,	,
war	VAFIN	sein
vor	APPR	vor
Lavoisier	NN	Lavoisier
bekannt	VVPP	bekennen
;	$.	;
aber	ADV	aber
dessen	PDAT	die
Verbrennungstheorie	NN	Verbrennungstheorie
sagt	VVFIN	sagen
mehr	PIS	mehr
als	KOKOM	als
dies	PDS	dies
.	$.	.
Dass	KOUS	dass
die	ART	die
Kohlensäure	NN	Kohlensäure
die	ART	die
Pflanzen	NN	Pflanze|Pflanzen
ernähre	VVFIN	ernähren
,	$,	,
war	VAFIN	sein
vor	APPR	vor
Liebig	NE	Liebig
bekannt	VVPP	bekennen
;	$.	;
dass	KOUS	dass
aber	ADV	aber
einige	PIAT	einige
anorganische	ADJA	anorganisch
Luftarten	NN	Luftarten
das	ART	die
ausschliessliche	ADJA	ausschließlich
Nahrungsmittel	NN	Nahrungsmittel
der	ART	die
organischen	ADJA	organisch
Natur	NN	Natur
sind	VAFIN	sein
,	$,	,
wusste	VVFIN	wissen
man	PIS	man
nicht	PTKNEG	nicht
vor	APPR	vor
ihm	PPER	er
.	$.	.
Ehe	KOUS	ehe
L's	NN	L's
Ernährungstheorie	NN	Ernährungstheorie
aufgestellt	VVPP	aufstellen
werden	VAINF	werden
konnte	VMFIN	können
,	$,	,
musste	VMFIN	müssen
erst	ADV	erst
der	ART	die
Ammoniakgehalt	NN	Ammoniakgehalt
der	ART	die
Luft	NN	Luft
nachgewiesen	VVPP	nachweisen
,	$,	,
für	APPR	für
die	ART	die
nächtliche	ADJA	nächtlich
Sauerstoffaufnahme	NN	Sauerstoffaufnahme
und	KON	und
Kohlensäureabsonderung	NN	Kohlensäureabsonderung
der	ART	die
Pflanzen	NN	Pflanze|Pflanzen
eine	ART	eine
Erklärung	NN	Erklärung
gefunden	VVPP	finden
,	$,	,
so	ADV	so
wie	KOKOM	wie
eine	ART	eine
Durchführung	NN	Durchführung
der	ART	die
Grundidee	NN	Grundidee
durch	APPR	durch
so	ADV	so
viele	PIS	viele
,	$,	,
schwer	ADJD	schwer
zu	PTKZU	zu
erklärende	ADJA	erklärend
Einzelheiten	NN	Einzelheit
versucht	VVPP	versuchen
werden	VAFIN	werden
;	$.	;
es	PPER	es
mussten	VMFIN	müssen
erst	ADV	erst
geläuterte	ADJA	geläutert
Begriffe	NN	Begriff
von	APPR	von
Fäulniss	NN	Fäulniss
und	KON	und
Gährung	NN	Gährung
vorhanden	ADJD	vorhanden
,	$,	,
die	ART	die
Bedeutung	NN	Bedeutung
der	ART	die
Mineralstoffe	NN	Mineralstoff
bei	APPR	bei
der	ART	die
Pflanzenernährung	NN	Pflanzenernährung
ergründet	VVPP	ergründen
,	$,	,
und	KON	und
der	ART	die
oft	ADV	oft
so	ADV	so
versteckt	VVFIN	verstecken
liegende	ADJA	liegend
Ursprung	NN	Ursprung
derselben	PDS	dieselbe
erforscht	VVPP	erforschen
sein	VAINF	sein
.	$.	.
Hätten	VAFIN	haben
L's	NN	L's
Beurtheiler	NN	Beurtheiler
alles	PIAT	alle
dies	PDS	dies
eingesehen	VVPP	einsehen
,	$,	,
so	ADV	so
würden	VAFIN	werden
sie	PPER	sie
das	ART	die
Neue	NN	Neue
in	APPR	in
seiner	PPOSAT	sein
Schrift	NN	Schrift
nicht	PTKNEG	nicht
vergeblich	ADJD	vergeblich
gesucht	VVPP	suchen
haben	VAINF	haben
.	$.	.
Auf	APPR	auf
derselben	PDAT	dieselb
Seite	NN	Seite
handelt	VVFIN	handeln
Sch	ADJD	Sch
.	$.	.
von	APPR	von
L's	NN	L's
monstruöser	ADJA	monstruöser
Windtheorie	NN	Windtheorie
.	$.	.
Was	PWS	was
er	PPER	er
damit	PAV	damit
sagen	VVINF	sagen
will	VMFIN	wollen
,	$,	,
ist	VAFIN	sein
mir	PPER	ich
vollkommen	ADJD	vollkommen
unklar	ADJD	unklar
.	$.	.
L.	NE	L.
spricht	VVFIN	sprechen
nämlich	ADV	nämlich
von	APPR	von
der	ART	die
bekannten	ADJA	bekannt
,	$,	,
von	APPR	von
allen	PIAT	alle
Physikern	NN	Physiker
angenommenen	ADJA	angenommen
Luftströmung	NN	Luftströmung
,	$,	,
nach	APPR	nach
welcher	PRELS	welche
die	ART	die
Luft	NN	Luft
von	APPR	von
den	ART	die
Polen	NE	Polen
nach	APPR	nach
der	ART	die
Linie	NN	Linie
geht	VVFIN	gehen
,	$,	,
dort	ADV	dort
durch	APPR	durch
Erwärmung	NN	Erwärmung
emporsteigt	VVFIN	emporsteigen
,	$,	,
und	KON	und
hierauf	PAV	hierauf
wieder	ADV	wieder
nach	APPR	nach
den	ART	die
Polen	NE	Polen
zurückfliesst	VVFIN	zurückfließen
.	$.	.
Er	PPER	er
will	VMFIN	wollen
dadurch	PAV	dadurch
zeigen	VVINF	zeigen
,	$,	,
dass	KOUS	dass
der	ART	die
Sauerstoff	NN	Sauerstoff
,	$,	,
welchen	PRELS	welche
die	ART	die
reiche	ADJA	reich
Vegetation	NN	Vegetation
der	ART	die
tropischen	ADJA	tropisch
Länder	NN	Land
erzeugt	VVPP	erzeugen
,	$,	,
nach	APPR	nach
unsern	PPOSAT	unser
Gegenden	NN	Gegend
,	$,	,
und	KON	und
dafür	PAV	dafür
die	ART	die
Kohlensäure	NN	Kohlensäure
,	$,	,
die	PRELS	die
wir	PPER	wir
durch	APPR	durch
Verbrennung	NN	Verbrennung
hervorbringen	VVFIN	hervorbringen
,	$,	,
nach	APPR	nach
den	ART	die
tropischen	ADJA	tropisch
Ländern	NN	Land
geführt	VVPP	führen
werden	VAINF	werden
kann	VMFIN	können
.	$.	.
Sch	VVFIN	Sch
.	$.	.
kann	VMFIN	können
doch	ADV	doch
nicht	PTKNEG	nicht
wohl	ADV	wohl
diese	PDAT	dies
Windtheorie	NN	Windtheorie
für	APPR	für
L's	NN	L's
Erfindung	NN	Erfindung
halten	VVINF	halten
?	$.	?
Er	PPER	er
fragt	VVFIN	fragen
,	$,	,
woher	PWAV	woher
der	ART	die
Sauerstoff	NN	Sauerstoff
komme	VVFIN	kommen
.	$.	.
Wie	KOKOM	wie
schon	ADV	schon
gesagt	VVPP	sagen
,	$,	,
aus	APPR	aus
den	ART	die
tropischen	ADJA	tropisch
Ländern	NN	Land
.	$.	.
Seite	NN	Seite
11	CARD	@card@
behauptet	VVFIN	behaupten
Sch	ADJD	Sch
.	$.	.
,	$,	,
dass	KOUS	dass
die	ART	die
Erfahrung	NN	Erfahrung
,	$,	,
nach	APPR	nach
welcher	PRELS	welche
trockene	ADJA	trocken
Sommer	NN	Sommer
und	KON	und
kalte	ADJA	kalt
Winter	NN	Winter
ohne	APPR	ohne
Schnee	NN	Schnee
die	ART	die
Fruchtbarkeit	NN	Fruchtbarkeit
des	ART	die
Bodens	NN	Boden
vermindern	VVFIN	vermindern
,	$,	,
für	APPR	für
die	ART	die
Löslichkeit	NN	Löslichkeit
des	ART	die
Humus	NN	Humus
spreche	VVFIN	sprechen
.	$.	.
Diese	PDAT	dies
Behauptung	NN	Behauptung
ist	VAFIN	sein
indessen	ADV	indessen
nicht	PTKNEG	nicht
begründet	VVPP	begründen
,	$,	,
weil	KOUS	weil
sonst	ADV	sonst
nasse	ADJA	nass
Winter	NN	Winter
eben	ADV	eben
so	ADV	so
gut	ADJD	gut
wie	KOKOM	wie
trockene	ADJA	trocken
,	$,	,
wenn	KOUS	wenn
sie	PPER	sie
nur	ADV	nur
kalt	ADJD	kalt
sind	VAFIN	sein
,	$,	,
dasselbe	PDS	dasselbe
leisten	VVINF	leisten
müssten	VMFIN	müssen
.	$.	.
Da	ADV	da
dieses	PDAT	dies
nun	ADV	nun
nicht	PTKNEG	nicht
der	ART	die
Fall	NN	Fall
ist	VAFIN	sein
,	$,	,
so	ADV	so
erklärt	VVFIN	erklären
sich	PRF	sich
die	ART	die
Sache	NN	Sache
sehr	ADV	sehr
einfach	ADJD	einfach
auf	APPR	auf
andere	PIS	andere
Weise	NN	Weise
.	$.	.
In	FM	In
trocknen	VVFIN	trocknen
Wintern	NN	Winter
wird	VAFIN	werden
der	ART	die
Boden	NN	Boden
weniger	ADV	weniger
durch	APPR	durch
das	ART	die
Gefrieren	NN	Gefrieren
des	ART	die
Wassers	NN	Wasser
aufgelockert	VVPP	auflockern
,	$,	,
als	KOUS	als
in	APPR	in
feuchten	ADJA	feucht
.	$.	.
Nicht	PTKNEG	nicht
minder	ADJD	minder
klar	ADJD	klar
ist	VAFIN	sein
es	PPER	es
,	$,	,
das	PRELS	die
zu	APPR	zu
Zeiten	NN	Zeit
grosser	ADJA	groß
Dürre	NN	Dürre
,	$,	,
auch	ADV	auch
bei	APPR	bei
aller	PIAT	alle
Löslichkeit	NN	Löslichkeit
des	ART	die
Humus	NN	Humus
,	$,	,
keine	PIAT	keine
Ernährung	NN	Ernährung
stattfinden	VVINF	stattfinden
kann	VMFIN	können
,	$,	,
weil	KOUS	weil
das	ART	die
Lösungsmittel	NN	Lösungsmittel
für	APPR	für
denselben	PDS	derselbe
fehlt	VVFIN	fehlen
.	$.	.
Auf	APPR	auf
derselben	PDAT	dieselb
Seite	NN	Seite
führt	VVFIN	führen
Sch	ADJD	Sch
.	$.	.
an	PTKVZ	an
,	$,	,
dass	KOUS	dass
er	PPER	er
,	$,	,
eben	ADV	eben
so	ADV	so
wie	KOUS	wie
Berzelius	NE	Berzelius
,	$,	,
aus	APPR	aus
guter	ADJA	gut
Gartenerde	NN	Gartenerde
ein	ART	eine
braunes	ADJA	braun
Extract	NN	Extract
erhalte	VVFIN	erhalten
.	$.	.
Diese	PDAT	dies
Thatsache	NN	Thatsache
